Specimen,Species,Clade,Age,CS,CS_logged,CS_percent_adult,Percent_binned,Discrete_age,PTA_age_group,Dev_strategy,Diet,Interfrontal,Fronto-parietal ,Interparietal ,Supraoccipito-parietal,Basispheno-presphenoid,Basispheno-basioccipital,Exoccipito-basioccipital,Exoccipito-squamosal,Exoccipito-supraoccipital,Alispheno-squamosal,Alispheno-orbitosphenoid,Orbitospheno-frontal,Fronto-squamosal,Parieto-squamosal,Supraoccipito-squamosal,Interpremaxillary,Intermaxillary,Premaxillo-maxillary (ventral),Interpalatine,Maxillo-palatine,Pterygo-palatine,Premaxillo-maxillary (facial),Premaxillo-nasal,Internasal,Maxillo-jugal,Maxillo-lacrimal,Naso-frontal,Lacrimo-frontal,Jugo-squamosal,Palato-alisphenoid,Palato-orbitosphenoid
Mus_musculus_5wks_cfos_het_1038,Mus musculus,Placental,I,82.80038976,4.416432769,94.53962411,Group4,I,Group2,Altricial,Omnivore,5,3,4,3,1,3,5,1,5,4,3,3,5,4,2,4,3,3,3,4,4,3,3,5,4,4,3,3,2,3,3
Mus_musculus_9wk_CD1_harddiet1,Mus musculus,Placental,I,85.80655415,4.452095392,97.97199505,Group4,SA,Group3,Altricial,Omnivore,5,4,3,3,3,3,5,1,5,4,3,3,4,4,1,4,4,3,3,5,5,4,3,5,4,5,5,5,2,4,3
Ornithorhynchus_anatinus_NHMUK_1859.5.30.13,Ornithorhynchus anatinus,Monotreme,I,238.4324369,5.474085987,72.7690294,Group3,I,Group2,Super-altricial,Carnivore,5,4,5,4,1,1,1,4,1,5,3,4,1,5,3,1,5,5,5,4,1,5,5,3,5,5,5,5,5,1,2
Ornithorhynchus_anatinus_NHMUK_90.12.4.5,Ornithorhynchus anatinus,Monotreme,A,327.6564754,5.791965728,100,Group4,A,Group4,Super-altricial,Carnivore,5,5,5,5,5,5,5,5,5,5,3,4,1,5,5,1,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5
Ornithorhynchus_anatinus_NHMUK_90.12.4.6,Ornithorhynchus anatinus,Monotreme,I,300.1782475,5.704376457,91.61370827,Group4,I,Group2,Super-altricial,Carnivore,5,5,5,5,5,5,1,5,3,5,3,4,1,5,5,1,5,5,5,4,3,3,5,3,5,5,5,5,5,5,5
Ornithorhynchus_anatinus_NHMUK_no_number,Ornithorhynchus anatinus,Monotreme,I,302.458979,5.711945662,92.30978226,Group4,SA,Group3,Super-altricial,Carnivore,5,5,5,5,5,5,4,5,5,5,3,4,1,5,5,1,5,4,5,5,3,3,4,3,5,5,5,5,5,5,5
Phacochoerus_aethiopicus_NHMUK_66.425,Phacochoerus aethiopicus,Placental,A,1465.473463,7.289933652,100,Group4,A,Group4,Precocial,Herbivore,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,1,2,4,3,4,5,3,2,4,5,5,5,5,2,5,4
Phacochoerus_aethiopicus_NHMUK_66.428,Phacochoerus aethiopicus,Placental,I,1035.65095,6.942785445,70.67005825,Group3,I,Group2,Precocial,Herbivore,4,4,5,5,5,2,5,3,4,5,4,4,5,5,5,1,3,2,4,4,5,3,3,3,4,3,4,3,2,5,4
Phacochoerus_aethiopicus_NHMUK_66.517,Phacochoerus aethiopicus,Placental,I,803.5290808,6.689013377,54.83068108,Group3,I,Group2,Precocial,Herbivore,5,4,5,5,5,1,2,5,2,5,3,5,5,5,5,2,3,3,5,3,5,2,2,4,4,4,4,5,3,5,3
Phacochoerus_aethiopicus_NHMUK_66.523,Phacochoerus aethiopicus,Placental,I,944.0174923,6.850144696,64.41723553,Group3,I,Group2,Precocial,Herbivore,5,4,5,4,5,4,2,5,2,5,3,5,5,4,5,1,3,3,3,4,5,3,2,4,4,5,5,5,2,5,3
