X,Specimen_name,Subclass,Major_clades,Species,Age,CS,CS_logged,CS_percent_adult,Discrete_age,Discrete_age_group,PTA_age_group,Dev_strategy,Diet,Diet_3_cats,Mars-plac,Coronoid
49,Felis_catus_NHMUK_1952.10.20.2,Eutheria,Laurasiatheria,Felis catus,I,304.451877,5.718513035,78.79972411,SA,Group3,Group3,Semi-altricial,Carnivore,Faunivore,Placental,Very large
50,Felis_catus_NHMUK_1992.178,Eutheria,Laurasiatheria,Felis catus,I,146.6345029,4.987943116,37.95265934,I,Group2,Group2,Semi-altricial,Carnivore,Faunivore,Placental,Very large
51,Felis_catus_NHMUK_1992.184,Eutheria,Laurasiatheria,Felis catus,I,141.1083057,4.949527721,36.52234195,I,Group2,Group2,Semi-altricial,Carnivore,Faunivore,Placental,Very large
52,Felis_catus_NHMUK_1999.132,Eutheria,Laurasiatheria,Felis catus,E,115.3200709,4.747711488,29.84770487,E,Group1,Group1,Semi-altricial,Carnivore,Faunivore,Placental,Very large
53,Felis_catus_NHMUK_69.508,Eutheria,Laurasiatheria,Felis catus,I,168.5718604,5.12736213,43.63059352,I,Group2,Group2,Semi-altricial,Carnivore,Faunivore,Placental,Very large
54,Macroscelides_proboscideus_NHMUK_2.9.1.17,Eutheria,Afrotheria,Macroscelides proboscideus,I,97.54496438,4.580313445,77.06624954,I,Group2,Group2,Precocial,Insectivore,Faunivore,Placental,Medium
55,Macroscelides_proboscideus_NHMUK_2.9.1.18,Eutheria,Afrotheria,Macroscelides proboscideus,I,111.9634949,4.71817288,88.45773528,I,Group2,Group2,Precocial,Insectivore,Faunivore,Placental,Medium
56,Macroscelides_proboscideus_NHMUK_3.1.4.10,Eutheria,Afrotheria,Macroscelides proboscideus,A,126.5728707,4.840818195,100,A,Group4,Group4,Precocial,Insectivore,Faunivore,Placental,Medium
57,Macroscelides_proboscideus_UMZC_48,Eutheria,Afrotheria,Macroscelides proboscideus,E,73.27530861,4.294223698,57.89179641,E,Group1,Group1,Precocial,Insectivore,Faunivore,Placental,Medium
58,Macroscelides_proboscideus_UMZC_w3,Eutheria,Afrotheria,Macroscelides proboscideus,I,112.0766263,4.719182801,88.54711573,I,Group2,Group2,Precocial,Insectivore,Faunivore,Placental,Medium
59,Macroscelides_proboscideus_UMZC_w39,Eutheria,Afrotheria,Macroscelides proboscideus,I,121.0103747,4.795876283,95.60530154,SA,Group3,Group3,Precocial,Insectivore,Faunivore,Placental,Medium
60,Manis_tricuspis_NHMUK_1.8.9.108,Eutheria,Laurasiatheria,Phataginus tricuspis,A,240.8285552,5.484085291,100,A,Group4,Group4,Semi-precocial,Insectivore,Faunivore,Placental,Tiny
61,Manis_tricuspis_NHMUK_1999.102,Eutheria,Laurasiatheria,Phataginus tricuspis,E,145.3193246,4.97893356,60.34140116,E,Group1,Group1,Semi-precocial,Insectivore,Faunivore,Placental,Tiny
